                              title                               |           sub_title            | title_id |   category   |          series_title          | episode_position | season | season_position | episode_code | wanting 
 Mortal Sins                                                      |                                |     3007 | SERIES       | Highlander                     |               63 | 3      |              19 |              | 
 Reasonable Doubt                                                 |                                |     3163 | SERIES       | Highlander                     |                0 | 3      |              20 |              | 
 Finale                                                           |                                |     3164 | SERIES       | Highlander                     |                0 | 3      |              21 |              | 
 Finale II                                                        |                                |     3165 | SERIES       | Highlander                     |                0 | 3      |              22 |              | 
 Homeland                                                         |                                |     3166 | SERIES       | Highlander                     |                0 | 4      |               1 |              | 
 Brothers In Arms                                                 |                                |     3167 | SERIES       | Highlander                     |                0 | 4      |               2 |              | 
 Innocent, The                                                    |                                |     3168 | SERIES       | Highlander                     |                0 | 4      |               3 |              | 
 Leader of the Pack                                               |                                |     3169 | SERIES       | Highlander                     |                0 | 4      |               4 |              | 
 Double Eagle                                                     |                                |     3170 | SERIES       | Highlander                     |                0 | 4      |               5 |              | 
 Reunion                                                          |                                |     3171 | SERIES       | Highlander                     |                0 | 4      |               6 |              | 
 Colonel, The                                                     |                                |     3172 | SERIES       | Highlander                     |                0 | 4      |               7 |              | 
 Reluctant Heroes                                                 |                                |     3173 | SERIES       | Highlander                     |                0 | 4      |               8 |              | 
 Wrath of Kali, The                                               |                                |     3174 | SERIES       | Highlander                     |                0 | 4      |               9 |              | 
 Chivalry                                                         |                                |     3175 | SERIES       | Highlander                     |                0 | 4      |              10 |              | 
 Timeless                                                         |                                |     3176 | SERIES       | Highlander                     |                0 | 4      |              11 |              | 
 Blitz, The                                                       |                                |     3177 | SERIES       | Highlander                     |                0 | 4      |              12 |              | 
 Something Wicked                                                 | Hakoya                         |     3261 | SERIES       | Highlander                     |                0 | 4      |              13 |              | 
 Deliverance                                                      | Leap of Faith                  |     3262 | SERIES       | Highlander                     |                0 | 4      |              14 |              | 
 Promises                                                         |                                |     3180 | SERIES       | Highlander                     |                0 | 4      |              15 |              | 
 Methuselah's Gift                                                |                                |     3426 | SERIES       | Highlander                     |                0 | 4      |              16 |              | 
 Immortal Cimoli, The                                             |                                |     3263 | SERIES       | Highlander                     |                0 | 4      |              17 |              | 
 Through a Glass Darkly                                           |                                |     3427 | SERIES       | Highlander                     |                0 | 4      |              18 |              | 
 Double Jeopardy                                                  |                                |     3453 | SERIES       | Highlander                     |                0 | 4      |              19 |              | 
 Till Death                                                       |                                |     3428 | SERIES       | Highlander                     |                0 | 4      |              20 |              | 
 Judgement Day                                                    |                                |     3429 | SERIES       | Highlander                     |                0 | 4      |              21 |              | 
 One Minute To Midnight                                           |                                |     3430 | SERIES       | Highlander                     |                0 | 4      |              22 |              | 
 Prophecy                                                         |                                |     3454 | SERIES       | Highlander                     |                0 | 5      |               1 |              | 
 End of Innocence, The                                            |                                |     3455 | SERIES       | Highlander                     |                0 | 5      |               2 |              | 
 Manhunt                                                          |                                |     3456 | SERIES       | Highlander                     |                0 | 5      |               3 |              | 
 Glory Days                                                       |                                |     3457 | SERIES       | Highlander                     |                0 | 5      |               4 |              | 
 Dramatic Licence                                                 |                                |     3458 | SERIES       | Highlander                     |                0 | 5      |               5 |              | 
 Money's No Object                                                |                                |     3459 | SERIES       | Highlander                     |                0 | 5      |               6 |              | 
 Haunted                                                          |                                |     3460 | SERIES       | Highlander                     |                0 | 5      |               7 |              | 
 Little Tin God                                                   |                                |     3461 | SERIES       | Highlander                     |                0 | 5      |               8 |              | 
 Messenger, The                                                   |                                |     3462 | SERIES       | Highlander                     |                0 | 5      |               9 |              | 
 Valkyrie, The                                                    |                                |     3463 | SERIES       | Highlander                     |                0 | 5      |              10 |              | 
 Comes A Horseman                                                 |                                |     3464 | SERIES       | Highlander                     |                0 | 5      |              11 |              | 
 Revelations 6:8                                                  |                                |     3465 | SERIES       | Highlander                     |                0 | 5      |              12 |              | 
 Ransom of Richard Redstone, The                                  |                                |     3466 | SERIES       | Highlander                     |                0 | 5      |              13 |              | 
 Duende                                                           |                                |     3467 | SERIES       | Highlander                     |                0 | 5      |              14 |              | 
 Stone of Scone, The                                              |                                |     3468 | SERIES       | Highlander                     |                0 | 5      |              15 |              | 
 Forgive Us Our Trespasses                                        |                                |     3469 | SERIES       | Highlander                     |                0 | 5      |              16 |              | 
 Modern Prometheus, The                                           |                                |     3470 | SERIES       | Highlander                     |                0 | 5      |              17 |              | 
 Archangel                                                        |                                |     3471 | SERIES       | Highlander                     |                0 | 5      |              18 |              | 
